% # columns="iteration, evaluation, void, void, void, xmean", seed=630977, Tue Jun 30 13:35:05 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 -1.6197582509691737 1.1541877095535555
2 12 0 0 0 -2.3117113342278945 1.3210572395474496
3 18 0 0 0 -2.164452305427159 2.46005169292429
4 24 0 0 0 -4.150189598145055 3.9372045567750362
5 30 0 0 0 -6.0947290191710985 6.320450719480909
6 36 0 0 0 -10.021315271304722 11.052211763682646
7 42 0 0 0 -14.48498678134243 21.081960911064087
8 48 0 0 0 -20.786006903130748 23.7270595256701
9 54 0 0 0 -33.244750778666464 35.386998241058166
10 60 0 0 0 -65.45151728468693 74.0248802404927
11 66 0 0 0 -85.44775891642162 110.90051809410755
12 72 0 0 0 -136.4566167528929 187.00610110983573
13 78 0 0 0 -299.248595316083 359.0771704438428
14 84 0 0 0 -473.39576008382653 552.065838509319
15 90 0 0 0 -723.6961755371207 1029.4734599363005
16 96 0 0 0 -971.2586908915555 1448.6913924276573
17 102 0 0 0 -2191.7469577785128 2841.453596681677
