% # columns="iteration, evaluation, void, void, void, xmean", seed=691442, Wed Jul  1 17:13:24 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 0.58644354220233 -1.3695173165602768
2 12 0 0 0 1.0144297978099186 -2.288902845658924
3 18 0 0 0 1.1002966311219886 -3.202673356654604
11 66 0 0 0 9.409345022771298 -35.315007575089425
21 126 0 0 0 10.887910485833393 -38.36379871065854
31 186 0 0 0 19.373119293371587 -27.933357617162176
41 246 0 0 0 28.025736039704515 -8.208465152081684
51 306 0 0 0 32.081836006461536 6.150476735673623
61 366 0 0 0 32.54744994887862 7.892297403650316
71 426 0 0 0 32.388418136641874 7.317556419109323
81 486 0 0 0 32.504255498251275 7.731983650538577
91 546 0 0 0 32.51160753842119 7.760576688733858
101 606 0 0 0 32.5102909168358 7.753555958611636
111 666 0 0 0 32.510992022579856 7.756325066880928
121 726 0 0 0 32.51072394471789 7.755309186018483
131 786 0 0 0 32.510721689092684 7.75529881847387
137 822 0 0 0 32.51072917259935 7.755328495730819
