% # columns="iteration, evaluation, void, void, void, xmean", seed=651641, Wed Jul  1 17:13:00 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 1.018502573214613 -1.1167835367274768
2 12 0 0 0 0.7675087631274655 -3.155412403009188
3 18 0 0 0 0.1679250463020452 -5.829663000792546
11 66 0 0 0 -36.424577507529506 -33.772344562082324
21 126 0 0 0 -117.88132887411602 -60.7884915772993
31 186 0 0 0 -78.7166732884212 -60.29479175964211
41 246 0 0 0 -69.93634160064106 -64.07443790253409
51 306 0 0 0 -65.94649798998998 -65.79545653691822
61 366 0 0 0 -58.75067976742618 -68.923608501144
71 426 0 0 0 -55.570648710878324 -70.30191525093531
81 486 0 0 0 -55.27566912625999 -70.42986811704641
91 546 0 0 0 -55.27641274748149 -70.4295553806261
101 606 0 0 0 -55.27620740459591 -70.42964266212769
111 666 0 0 0 -55.276400720692564 -70.42955877568637
121 726 0 0 0 -55.27639835219535 -70.42955978110695
131 786 0 0 0 -55.276398458783845 -70.42955973526604
138 828 0 0 0 -55.276398530277966 -70.42955970410877
