% # columns="iteration, evaluation, void, void, void, xmean", seed=815265, Thu Jul  2 17:29:13 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 14 0 0 0 -8.616680453006321 -6.829078462070184 18.68711508051317 -44.840114135908 -45.940439997729634 3.6784890194998896 -23.75546988851612 35.15536658681974 16.137628376323402 7.055438441909256 -9.608040609511818 -9.068023522804081 6.024597168366663 -7.09303214094429 5.456706916055659 -3.6931101547404857 27.366760182761578 -1.0786674737518869 -14.24640149556468 6.737530823686062 2.7413282161855577 15.25163396174985 30.16173762508061 8.119129769538013 41.0752408826461 -7.124261459382154 -27.692233782534547 -3.891167883478305 -29.262044533243913 -0.04781507943976837
2 28 0 0 0 -60.27716175145537 -22.031930883942017 4.113296719486982 -32.4665140054987 -4.857888869881506 34.12554025817834 -41.55520628225305 72.66715261344238 53.91783144230463 14.719841431953137 2.3189014509150194 5.5651983546987065 -6.622545244211176 21.245512153314237 29.59718448746445 18.480594405665666 -32.74051717003283 54.94318291086018 -22.72413616368066 -14.723464331821013 -38.35530868615873 -0.5678410622824668 40.258140808862635 26.443730383210237 8.829746770857625 -4.489587094372785 -26.07394696083869 2.036003033540811 -65.84116823609574 2.292446862923887
3 42 0 0 0 -72.97874099934117 -56.848402181793844 -9.56554511373162 -37.0089875934907 -36.411366929245766 13.570922554509025 -33.8485695543998 51.30212161713995 61.54098665793265 16.06783611371859 16.705824821195407 -9.931414498407596 22.30878284926375 35.0925961794581 -3.3447398328410465 -16.130816165193043 -46.93039100620684 82.80091915224625 -50.59776424301427 -45.97358381731891 -38.80821121817275 -16.56281428106221 48.6337414172272 20.339084152697392 5.441375955950619 -26.648520711411408 -29.51628375336013 -17.6971302965611 -42.486671563437085 8.277842950141721
101 1414 0 0 0 -46.11611712957475 -71.74213519661438 -29.73219786518394 -151.02781899645342 20.785325502116905 151.58406576116445 31.137773273693796 19.15797209457999 75.5419238435848 -8.885674710119105 36.46271377568106 142.87573755195106 -27.90751080757508 25.535599262867002 -59.686854053413384 -40.35747274838266 23.657973954662403 65.82612707496371 -40.544370186175556 5.428052780905641 -228.33229239505707 -4.24934928379906 -48.293384715037845 -30.567441852545798 31.57150393253729 -1.1978108160965275 -61.02713638962662 -41.92241173119463 -9.84595660281107 -20.980816602551425
201 2814 0 0 0 -45.506553983096076 -70.43755931108532 -29.6288956738227 -151.77274953542198 22.072291631233316 150.16926803489196 30.567460601105676 18.559188790329276 76.69398816381646 -8.482571772383716 38.041757749916684 144.507389099153 -28.6743240646536 26.28964689708102 -58.68795952413464 -40.18745698756631 23.46856571221106 64.27234009400013 -40.07326487816395 5.159480858101893 -227.73619831706023 -3.941944914185623 -48.04404911396861 -30.30304758985023 31.504733328902184 -1.4794720943016304 -61.509518706776745 -40.976932724544426 -9.940236438609155 -20.312492009969866
301 4214 0 0 0 -45.53153475921098 -70.43002729168478 -29.610256354305278 -151.77358224836448 22.089375673585966 150.16112659748637 30.569098970145067 18.559076225494305 76.68069451905055 -8.48016040722538 38.042490663525626 144.50955734523097 -28.671815008996273 26.299465806108223 -58.69792323174166 -40.19096461245263 23.470542687069674 64.29454019986491 -40.06887497222263 5.1512054193626104 -227.71138642599684 -3.9443131810169794 -48.04859386996575 -30.299568883998923 31.491172924235684 -1.4700089054885084 -61.519839663406145 -40.97414699416681 -9.92979286273617 -20.332068445451316
401 5614 0 0 0 -45.53190615389205 -70.42955885227649 -29.610180877306565 -151.7732394685879 22.089595039270097 150.161265862502 30.5693187308465 18.55873811374486 76.68042051533463 -8.479671803104209 38.04272482269617 144.50998724368364 -28.672179426818627 26.300032533133283 -58.69789971003899 -40.191380181066506 23.470238859513852 64.29465233090129 -40.06870713374843 5.151279586358556 -227.7114803707473 -3.9440764885175987 -48.04844512107324 -30.299789457200575 31.491541074425506 -1.4697157400806442 -61.51966720369697 -40.973990453633576 -9.930393311341746 -20.331667816082334
501 7014 0 0 0 -45.53839910567547 -70.42955863411717 -29.610126363619454 -151.7732107383296 22.089607562470764 150.16115798091582 30.569233171970254 18.55871620410477 76.68044709302535 -8.495560753756116 38.041707962965845 144.5100925345176 -28.672157987695485 26.300073006273117 -58.69553553534106 -40.19140760231345 23.470321713125365 64.29455130287258 -40.068760490057336 5.1512377095206565 -227.71144876708217 -3.9440378457559753 -48.04850915006438 -30.299796424921055 31.491671091955215 -1.4698455649737026 -61.51969732491838 -40.97389070207122 -9.930454797602879 -20.33162156117826
601 8414 0 0 0 -46.363059914573654 -70.43012156211776 -29.611328891854065 -151.7726293676603 22.08935949174465 150.16006230772643 30.569905648671796 18.55761700248959 76.68010624672935 -10.498965908712387 37.92345585607494 144.5098260286492 -28.672084764098056 26.300371312649105 -58.4088534961305 -40.19142601442913 23.471276038069554 64.2958003119618 -40.068335935054684 5.1512992278310525 -227.7115180482289 -3.9447449554990524 -48.04844385081905 -30.299384493225766 31.490522729393575 -1.4706868226921623 -61.519908490718656 -40.97252666342843 -9.930428623634327 -20.33198445246912
701 9814 0 0 0 -55.0470622815939 -70.4297225512602 -29.60975931125595 -151.77324677718187 22.08967743593821 150.16155932478054 30.568885039764417 18.558236066461543 76.6806066287009 -31.608367073472433 36.678611266583054 144.51009303579602 -28.6725410052611 26.30025847123559 -55.39183769626782 -40.1912898022821 23.47045245917851 64.29476337251073 -40.068501905015864 5.151366122948995 -227.71130126640512 -3.9441261625791704 -48.048792191746855 -30.299195719527205 31.491148959976652 -1.469913682367062 -61.51945376173274 -40.9754724230542 -9.930599712873283 -20.332330327780575
