% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=829495, Thu Jul  2 17:29:04 2020
1 10 -0.05072144922310976 -0.00666901302111099 0.017401321882183518 0.038607806353489385 0.9420161969298816 0.9603478190465388 0.9862551693779366 0.9902825844813802 1.0009292708365949 1.0051999432533687 1.0100532411751537 1.0164931410657143 1.0338928372238632 1.0499009996583295
2 20 -0.0789259491713071 -0.019664850876233066 0.020035687169119343 0.06187961433265441 0.9420161969298816 0.9603478190465388 0.9862551693779366 0.9902825844813802 1.0009292708365949 1.0051999432533687 1.0100532411751537 1.0164931410657143 1.0338928372238632 1.0499009996583295
3 30 -0.07090272688202247 -0.033098271400371575 0.03247456165856757 0.09926585364461962 0.9420161969298816 0.9603478190465388 0.9862551693779366 0.9902825844813802 1.0009292708365949 1.0051999432533687 1.0100532411751537 1.0164931410657143 1.0338928372238632 1.0499009996583295
101 1010 -0.9772115428083347 -0.1961337605354313 0.10099853784738154 0.5718016521117759 0.147330095194668 0.49784064134372175 0.6617722053845484 0.7534417098139806 0.8743290112005486 0.9549946927115193 1.0025530171852375 1.0260720881453544 1.444596193110959 1.70398678121237
201 2010 -0.9997849101068373 -0.4461011899405434 0.2813761803876663 0.7589919141267066 0.013515211560454831 0.2803577011056937 0.3637269954290126 0.45000600833644055 0.6357354105820209 0.6928706946685985 0.8468855944110131 1.2012879663365252 1.4903452271068673 2.078640894406727
301 3010 -0.9999971732653371 -0.2786740530465758 0.28502492711397137 0.6355820895515474 0.0016137036064543392 0.29900729148151534 0.5065420446536012 0.5783764979824826 0.6858319803202391 0.8212247390789403 0.9597029925973081 1.2851434524218321 1.5742913384797987 1.7673979450481765
401 4010 -0.999992603799318 -0.1823838992407993 0.18280600334922464 0.6013704073481834 0.0014119207957020029 0.2735652829050124 0.40959564791528347 0.6604166472011929 0.7555987759987793 0.8651887152328145 1.1615285332989662 1.1853383782473077 1.337550751385927 1.8597157469283945
501 5010 -0.999998606704838 -0.3122330947386841 0.1696258209943789 0.8031653101368279 0.0008480832156782017 0.10438679455826619 0.2900481060566174 0.36530314545940284 0.6897763766136852 0.8746008444689318 1.0030641009637646 1.0867670152860354 1.3027688672875792 2.155551771903738
601 6010 -0.9999980141878763 -0.15880693672137117 0.0995383001166482 0.711038038553589 0.0012676623155650556 0.23390140560043216 0.29782708481706405 0.5353307546492138 0.8511161260422991 0.9597763360294174 1.0404068813240956 1.159572703801005 1.4343652018538606 1.8547184138189265
701 7010 -0.99999286398686 -0.3550435106977487 0.09298748419753886 0.94626564064519 0.0012676623155650556 0.23390140560043216 0.29782708481706405 0.5353307546492138 0.8511161260422991 0.9597763360294174 1.0404068813240956 1.159572703801005 1.4343652018538606 1.8547184138189265
801 8010 -0.9999985453093636 -0.32948214894435596 0.09751559282488234 0.9179660837925434 0.0012676623155650556 0.23390140560043216 0.29782708481706405 0.5353307546492138 0.8511161260422991 0.9597763360294174 1.0404068813240956 1.159572703801005 1.4343652018538606 1.8547184138189265
901 9010 -0.9999986164918191 -0.19459029226026744 0.07137641547141362 0.988377114650975 0.0012676623155650556 0.23390140560043216 0.29782708481706405 0.5353307546492138 0.8511161260422991 0.9597763360294174 1.0404068813240956 1.159572703801005 1.4343652018538606 1.8547184138189265
1001 10010 -0.9999976649659396 -0.05413691931695073 0.10553523987663319 0.9951782436466232 0.0012676623155650556 0.23390140560043216 0.29782708481706405 0.5353307546492138 0.8511161260422991 0.9597763360294174 1.0404068813240956 1.159572703801005 1.4343652018538606 1.8547184138189265
1098 10980 -0.9999978296721711 -0.18642531837178528 0.1663906843582911 0.997398701982873 0.0012676623155650556 0.23390140560043216 0.29782708481706405 0.5353307546492138 0.8511161260422991 0.9597763360294174 1.0404068813240956 1.159572703801005 1.4343652018538606 1.8547184138189265
