% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=853137, Thu Jul  2 17:29:12 2020, <python>{}</python>
1 10 53.443887677723254 1.0000450010125153 4080.011854903023 4.0800118549030230e+03 8232.040846334508 14750776.520281378   
2 20 59.319855622235465 1.1305667340541905 4080.011854903023 4.5363408564908696e+03 48958.529822646604 67094099.28666437   
3 30 66.89085193864278 1.2154119680181084 4080.011854903023 4.1909830554038545e+03 53925.36734395793 767089.100836323   
101 1010 2.8720328475352797 3.38097711746823 3258.121786877643 3.2711278202835197e+03 3484.777141534257 3546.239206027185   
201 2010 0.06979576180277919 34.58435370229599 3244.5954639188676 3.2446463059204029e+03 3244.753200242185 3245.150906361402   
301 3010 0.02021724179517299 403.89725613034943 3243.6994565271066 3.2436994565271066e+03 3243.70515097347 3243.7161354581503   
401 4010 0.0009889594504701028 10466.342464698573 3243.690424489647 3.2436904261246882e+03 3243.6904491520745 3243.6904664726403   
501 5010 4.1599465045890854e-05 211070.27812886765 3243.690408992684 3.2436904090020867e+03 3243.6904090357066 3243.690409077367   
601 6010 1.8204006917728435e-05 2.373430637745878 3243.690408942856 3.2436904089635200e+03 3243.690409087072 3243.690409127136   
701 7010 2.45314369591037e-06 7.730485575859867 3243.690408942856 3.2436904089521040e+03 3243.6904089938507 3243.6904091067754   
801 8010 6.568177132866429e-07 16.79518583805474 3243.690408942856 3.2436904089709383e+03 3243.6904090309476 3243.690409121222   
869 8690 5.725248232636392e-08 27.91226192854891 3243.690408942856 3.2436904089520453e+03 3243.6904090092567 3243.6904090781986   
