% # columns="iteration, evaluation, void, void, void, xmean", seed=667429, Wed Jul  1 17:14:19 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 1.6215847065587934 -0.42613259674891857
2 12 0 0 0 1.8534359634980988 -0.3132582603995587
3 18 0 0 0 2.902956009394358 -0.9370712936931309
11 66 0 0 0 3.952933018875837 -1.083132388818411
21 126 0 0 0 3.6359947338684058 -1.537690059650922
31 186 0 0 0 3.6398003738893037 -1.5327991364507827
41 246 0 0 0 3.640916357803634 -1.5341860875208893
51 306 0 0 0 3.641020382956193 -1.5342142760055293
61 366 0 0 0 3.641009007459739 -1.5342117210894652
70 420 0 0 0 3.6410104479939425 -1.5342121528845796
