% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=48, Mon Jul  6 00:50:09 2020, <python>{}</python>
1 10 54.605728052466006 1.0000450010125153 5931.764597891417 5.9317645978914170e+03 480488.6398426997 47475187.4673461   
2 20 60.88091236420629 1.194274932961185 5931.764597891417 6.7460477573959506e+03 85231.97759451381 24675760.047812846   
3 30 70.22298004146623 1.2902622767984242 3947.8652638721665 3.9478652638721665e+03 5660.777655360707 1943440.9058616909   
101 1010 0.6211327551811542 3.8064556003558794 3226.827872401383 3.2268278724013830e+03 3235.117085102259 3241.308787938573   
201 2010 0.03474695989956632 40.55599217647905 3210.588283085475 3.2105882830854748e+03 3210.6311298046908 3210.726498666828   
301 3010 0.0033056329077476433 670.1984668356201 3210.4991111435866 3.2104991171889196e+03 3210.4992930767603 3210.4999383273953   
401 4010 0.0008612412819824633 8029.303666964339 3210.4988108792027 3.2104988108792027e+03 3210.4988175188073 3210.4988269320356   
501 5010 5.5082923407279466e-05 106134.22551554802 3210.498802037224 3.2104988020372239e+03 3210.498802058074 3210.4988020797937   
601 6010 6.4128019136291256e-06 1046801.3389863808 3210.498801960662 3.2104988019606621e+03 3210.4988019608095 3210.4988019610882   
701 7010 9.771546410559406e-06 3.940884021372995 3210.498801960662 3.2104988019740217e+03 3210.498802007559 3210.4988020578876   
801 8010 1.363482530036653e-05 8.460805830806844 3210.498801960662 3.2104988019904199e+03 3210.4988020336064 3210.498802059817   
870 8700 1.4503938606367416e-05 10.742939292859688 3210.498801960662 3.2104988019832999e+03 3210.498802012559 3210.49880207355   
