% # columns="iteration, evaluation, void, void, void, xmean", seed=44, Mon Jul  6 00:50:29 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 -8.536266340217065 14.576335119804611 22.488233210949204 -6.147725687416263 -19.343004518128666 8.577899053747498 -15.168014137082517 -60.26776295885894 -20.151072786829943 -17.750898856994052
2 20 0 0 0 -28.844674039460745 42.84892246063392 31.516044700587077 -23.20635624832077 -68.22665677911748 15.20164376212261 -25.85964182106433 -93.32055972375221 -49.75370008982499 -25.216871981527312
3 30 0 0 0 -48.39323097949267 60.34347454642999 86.17373022278701 -1.6536793632115554 -83.74993039812753 16.630352454698198 -2.3922654809258397 -137.83017618340648 -88.78427416699017 -16.04218450842009
101 1010 0 0 0 -69.08059086148901 96.81543781810944 75.3546222381436 114.69706688252622 -89.1305804115974 -68.32643353034021 3.7971153913165105 -164.12213872779338 6.991282161448461 -64.33723628808356
201 2010 0 0 0 -73.3242396079849 107.78433977711249 67.54568358078771 102.84658259046464 -102.3323537116816 -65.75502152233446 13.220585667227088 -161.37846746057326 21.941117542313798 -55.933628770208585
301 3010 0 0 0 -54.283403472811955 114.30445537501033 59.17997498522454 98.82644833061845 -111.07534419892382 -65.82884976562735 24.838675978802005 -138.54392180782375 30.48426048163146 -45.90411689319872
401 4010 0 0 0 -42.91005937830992 116.24509375286175 48.262161529228784 98.8679129152987 -107.4487652690338 -61.10853489915063 31.225749785053235 -143.97969039710523 36.0592851908059 -37.01184946305456
501 5010 0 0 0 -44.13749632695626 118.5378796937266 41.272319314365355 99.84592766352485 -105.41045721984204 -50.98914130904458 36.131039274323875 -173.22227509116934 44.01667312909718 -26.67827319666212
601 6010 0 0 0 -44.22381709847074 121.5179463037508 59.190950642726335 106.31610181617202 -101.544927137019 -23.03149059948244 27.035335104001085 -290.70183009279623 29.24101451822122 -14.151449950328052
701 7010 0 0 0 -44.96459461291746 122.48382335495667 96.72780828721702 108.75848362367468 -100.51121381028894 -19.407625591599672 26.16582734593125 -306.53360893370507 21.13659504271138 -12.460083018292861
801 8010 0 0 0 -42.7956818983661 127.97433971909291 96.4126375493686 108.27332634097849 -100.48309381080554 -18.817018698947923 23.8134433895456 -310.5977784364486 17.409039752625034 -14.624712786913252
901 9010 0 0 0 -42.04000242528888 130.05443056989347 98.22370827037652 107.97469638164714 -100.8347936473188 -18.910620290788685 22.60312165942645 -311.4027400209652 15.334948097495408 -15.928714522359304
1001 10010 0 0 0 -41.408368321411594 129.8838594941414 101.8709476269026 107.16572244947425 -103.01544756979837 -18.996759338046772 22.33805543663995 -311.9355996082171 14.410236339264705 -16.135640462974713
1101 11010 0 0 0 -41.31879847017507 129.80461623307323 104.30039906820942 106.63893408743938 -105.03213058391881 -18.984232814810987 22.121799852013467 -313.6807583772875 14.011025244630764 -16.278859490547525
1201 12010 0 0 0 -41.24942849579759 129.84691968422825 104.7381627831743 106.60771216989718 -105.39042514568294 -18.940161262080327 22.168705298893478 -314.02739423851585 14.03690228752182 -16.21257147089571
1301 13010 0 0 0 -41.24973241325888 129.84680650312984 104.73933459918354 106.60809422664856 -105.3913784632268 -18.940487435917305 22.1685010796377 -314.026138805 14.036925913977898 -16.212959770002044
1401 14010 0 0 0 -41.24671167729385 129.8484963598552 104.77856385034778 106.60416297129333 -105.41738243738338 -18.938736840295665 22.17075238319304 -314.04126999806584 14.038184455563425 -16.209946612460822
1501 15010 0 0 0 -41.24529974324637 129.849899713772 104.82052697050757 106.60023328431957 -105.43841557473121 -18.93689307604458 22.172282547179478 -314.05542308498417 14.039343346075544 -16.207537438724845
1601 16010 0 0 0 -41.2523928564804 129.8439874591824 104.94428185360655 106.78180039913799 -105.42393126195469 -18.949369872665716 22.17597073678914 -314.0707123260828 14.046020878854298 -16.213282735920373
1701 17010 0 0 0 -41.29782301220202 129.81423450041535 104.99579102939214 107.20940359051063 -105.19747779736872 -18.997551008522215 22.170292379837953 -314.0369419180089 14.057052563660703 -16.25134968363644
1801 18010 0 0 0 -41.300551909274425 129.80971357512652 105.01946201643352 107.29820733052657 -105.04394906888967 -19.00598061604263 22.173007515815698 -314.0356259340876 14.061495534151891 -16.25481313655273
1901 19010 0 0 0 -41.304267383917214 129.80790897690696 105.02216290252117 107.31046580471822 -105.03321290443273 -19.008055017363013 22.17211475158711 -314.03440776033614 14.061902341782451 -16.25700061544948
2001 20010 0 0 0 -41.31269359847989 129.80311419897026 105.03692637274652 107.37633384875593 -105.00681976579094 -19.016394188473146 22.171259046548503 -314.0276307669757 14.064109638200838 -16.26354824209081
2101 21010 0 0 0 -41.316880119255096 129.80054937107587 105.04745496814888 107.4022959347384 -105.05400117555175 -19.0200728823773 22.170590378087322 -314.02482420214153 14.06499305244369 -16.266619602768273
2201 22010 0 0 0 -41.31771479224101 129.8000622121996 105.04958197554284 107.40955334430001 -105.06174527102083 -19.020993975367606 22.170528812330733 -314.0240183278944 14.065239267368543 -16.26731687620488
2301 23010 0 0 0 -41.318979327465115 129.79926998014756 105.05280717225097 107.41716799729075 -105.06065933141133 -19.022079221878187 22.170351031666083 -314.02316136881956 14.065497583084188 -16.268203636278415
2401 24010 0 0 0 -41.32005355430134 129.79869440306655 105.05550324419173 107.42391263098432 -105.04886638566275 -19.02301779873365 22.17018234403169 -314.0223906538654 14.06572615063819 -16.269003376631517
2501 25010 0 0 0 -41.321167920573316 129.7980651313301 105.05718205343804 107.43108882570309 -105.04864583091786 -19.024016542541062 22.17001270264463 -314.0215704605294 14.065970198555735 -16.26983897636509
